id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
506622,Mallu House,"Arekere,Bangalore",3.3,20,230,"Chinese,Snacks",1.12E+13,https://www.swiggy.com/restaurants/mallu-house-arekere-bangalore-506622,"Mallu House, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore - 560078",Menu/506622.json
59898,World On A Swirl: Ice Cream and Desserts,"Arekere,Bangalore",4.4,100,180,"Ice Cream,Bakery",2.12E+13,https://www.swiggy.com/restaurants/world-on-a-swirl-ice-cream-and-desserts-arekere-devarachikkana-halli-bangalore-59898,"World On A Swirl: Ice Cream and Desserts, World On A Swirl 3, No-002,Ground Floor,No-21,Nyapanahalli Mainroad,  Near DLF Mainroad,Akshaya Nagar, BTM Layout,  B.B.M.P South (Karnataka), - 560068",Menu/59898.json
121663,Kakal Kairuchi (RBI Layout) DanaPani,"Arekere,Bangalore",4.3,100,140,"South Indian,North Indian",1.12E+13,https://www.swiggy.com/restaurants/kakal-kairuchi-rbi-layout-danapani-jp-nagar-rbi-layout-jp-nagar-bangalore-121663,"Kakal Kairuchi (RBI Layout) DanaPani, 1/8, Opposite to Big Baazar, Kothanur Dinne Main Road, JP Nagar, 7th Phase, RBI Layout, Bengaluru",Menu/121663.json
248665,Frosty Crumble,"Arekere,Bangalore",4.5,20,450,"Desserts,Ice Cream",1.12E+13,https://www.swiggy.com/restaurants/frosty-crumble-arekere-bangalore-248665,"Frosty Crumble, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore",Menu/248665.json
58566,Sweet Chariot,"Arekere,Bangalore",3.9,100,50,"Bakery,Desserts",1.12E+13,https://www.swiggy.com/restaurants/sweet-chariot-arekere-bangalore-58566,"Sweet Chariot, NO 2 PRAVEEN COMPLEX MICO ROAD AREKERE GATE BANGALORE",Menu/58566.json
31626,Punjabi Nawabi,"Arekere,Bangalore",3.5,100,400,"Punjabi,North Indian",1.12E+13,https://www.swiggy.com/restaurants/punjabi-nawabi-near-dlf-new-town-begur-bangalore-31626,"Punjabi Nawabi, Site-9, 1st Floor, SBI Building (Back Side), Near DLF New Town, Opp. Ample Mart, (Gokul Nest), Bengaluru- 560114",Menu/31626.json
532809,Jain Food Court,"Arekere,Bangalore",4.5,20,500,"Indian,Chinese",1.12E+13,https://www.swiggy.com/restaurants/jain-food-court-arekere-bangalore-532809,"Jain Food Court, 989 Ambika Corner, 2nd Floor, 11th Main, BTM 4th Stage, Vijaya Bank Layout, Bilekahalli, Bengaluru, Karnataka 560076, India",Menu/532809.json
323515,Raju Gari Biryani,"Arekere,Bangalore",3.8,50,400,"Indian,Biryani",1.12E+13,https://www.swiggy.com/restaurants/raju-gari-biryani-arekere-hulimavu-bangalore-323515,"Raju Gari Biryani, 81/3, 100 feet road Opp Royal Meenakshi Mall, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076, India",Menu/323515.json
437403,Hungry Panda - Deliciously Chinese,"Arekere,Bangalore",3,20,600,"Chinese,Asian",1.12E+13,https://www.swiggy.com/restaurants/hungry-panda-deliciously-chinese-electronic-city-bangalore-437403,"Hungry Panda - Deliciously Chinese, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttenahalli, JP Nagar, Bangalore - 560078",Menu/437403.json
404707,DILLI CHAT DESI SWAD,"Arekere,Bangalore",3.9,20,150,"Chaat,Beverages",2.12E+13,https://www.swiggy.com/restaurants/dilli-chat-desi-swad-arekere-bangalore-404707,"DILLI CHAT DESI SWAD, Doddakammanahalli Main Rd, Kalena Agrahara, Bengaluru, Karnataka 560076, India",Menu/404707.json
316083,Curryosity,"Arekere,Bangalore",4.1,100,250,"North Indian,South Indian",2.12E+13,https://www.swiggy.com/restaurants/curryosity-arekere-bilekahalli-bangalore-316083,"Curryosity, Devarachikkana Halli, Bengaluru, Karnataka, India",Menu/316083.json
518517,EatFit,"Arekere,Bangalore",4.1,100,270,"Healthy Food,Pizzas",1.12E+13,https://www.swiggy.com/restaurants/eatfit-near-chaitanya-school-jp-nagar-8th-phase-bangalore-518517,"EatFit, Ground Floor, No 1914, JP Nagar 8TH Phase, 2Nd Block, Near Chaitanya School, Jambu savari Dinne, Bangalore, BTM Layout, B.B.M.South, Karnataka, 560078",Menu/518517.json
